Câu hỏi thường gặp (FAQ),Câu trả lời (Answer)
Hệ thống Lost & Found là gì?,Đây là nền tảng công nghệ hỗ trợ kết nối tự động giữa người báo mất tài sản (Owner) và người nhặt được tài sản (Finder) thông qua các thuật toán so khớp thông tin thông minh.
Làm sao để tôi báo mất hoặc báo nhặt một món đồ?,"Bạn cần đăng nhập và chọn chức năng ""Tạo bài đăng"". Hãy cung cấp đầy đủ thông tin gồm: tiêu đề, mô tả, danh mục, màu sắc, thời gian và vị trí địa lý (GeoPoint) để hệ thống hoạt động chính xác nhất."
Tại sao bài đăng của tôi chưa được hiển thị ngay?,"Mọi bài đăng phải trải qua quá trình kiểm duyệt tự động (Auto-Moderation) để lọc ngôn từ không phù hợp và tin rác. Nếu phát hiện dấu hiệu nghi vấn, tin sẽ được chuyển cho Quản trị viên thẩm định thủ công trước khi phê duyệt."
Cơ chế so khớp (Matching) hoạt động như thế nào?,"Hệ thống sử dụng thuật toán chấm điểm theo trọng số (Weight-based Scoring) dựa trên các tiêu chí: Danh mục (30đ), Loại bài đối nghịch (10đ), Màu sắc (10đ), Khoảng cách thời gian (15đ), Vị trí/Tọa độ (15đ) và Từ khóa mô tả (tối đa 20đ)."
Khi nào tôi sẽ nhận được gợi ý đồ vật trùng khớp?,"Khi tổng điểm so khớp đạt ngưỡng 60 điểm trở lên, hệ thống sẽ tự động xác định đây là một đề xuất hợp lệ và gửi thông báo (Push Notification) đến cả hai phía để đối soát."
Tôi phải làm gì khi tìm thấy món đồ giống của mình?,"Bạn hãy gửi một ""Yêu cầu xác minh"" (Claim) cho người báo nhặt. Hãy cung cấp các bằng chứng sở hữu cụ thể như mô tả đặc điểm riêng, hình ảnh bổ sung hoặc giấy tờ liên quan để Finder kiểm tra."
Tại sao tôi không thể gửi thêm yêu cầu Claim?,"Để đảm bảo công bằng và ngăn chặn hành vi spam, hệ thống giới hạn mỗi người dùng chỉ được có tối đa 3 yêu cầu Claim ở trạng thái chờ xử lý cùng lúc."
Làm sao để đảm bảo an toàn khi bàn giao đồ vật?,"Hệ thống sử dụng giao thức bàn giao qua mã QR (QR Handover). Khi Finder chấp nhận Claim, hệ thống sinh mã QR duy nhất; Owner sẽ quét mã này khi gặp mặt trực tiếp để xác nhận và hoàn tất quy trình."
Tiền thưởng (Bounty) và Ký quỹ (Escrow) hoạt động ra sao?,Owner có thể cam kết tiền thưởng (Bounty) để tri ân lòng tốt. Khoản tiền này sẽ được cổng thanh toán tạm giữ (HELD) và chỉ giải ngân cho Finder sau khi xác nhận bàn giao mã QR thành công.
Tôi bị khóa tài khoản (BANNED) vì lý do gì?,"Tài khoản sẽ bị tự động khóa nếu có hơn 3 bài đăng bị từ chối do vi phạm quy định (spam, lừa đảo, nội dung sai) trong vòng 24 giờ."
Nếu xảy ra mâu thuẫn trong quá trình nhận đồ thì sao?,Bạn có thể báo cáo tranh chấp để kích hoạt vai trò hòa giải của Quản trị viên (Admin Mediation). Admin sẽ truy xuất nhật ký (Audit Logs) và bằng chứng từ cả hai phía để đưa ra phán quyết cuối cùng.
Hệ thống có bảo mật thông tin cá nhân của tôi không?,"Có, hệ thống áp dụng cơ chế xác thực tập trung JWT (JSON Web Token) và phân quyền chi tiết (RBAC), giúp dữ liệu của bạn luôn ở trạng thái an toàn (stateless)."
Tôi có thể sử dụng ứng dụng khi không có mạng không?,"Có. Nhờ công nghệ PWA, hệ thống hỗ trợ hoạt động ngoại tuyến hoặc trong điều kiện mạng không ổn định bằng cách lưu trữ các tài nguyên và dữ liệu quan trọng vào cache. Bạn vẫn có thể xem lại thông tin các bài đăng đã tải trước đó ngay cả khi mất kết nối."
Tin đăng của tôi sẽ tồn tại trên hệ thống trong bao lâu?,"Các bài đăng ở trạng thái APPROVED sẽ hiển thị công khai trong vòng 60 ngày. Sau thời gian này, hệ thống sẽ tự động chuyển tin sang trạng thái lưu trữ (ARCHIVED) để dọn dẹp dữ liệu cũ."
Tôi có thể chỉnh sửa tin đăng sau khi đã gửi không?,"Bạn có thể chỉnh sửa nếu bài đăng đang ở trạng thái Nháp hoặc khi nhận được yêu cầu ""NEEDS_UPDATE"" từ Admin. Nếu tin đã được duyệt (APPROVED), việc chỉnh sửa có thể bị hạn chế để đảm bảo tính xác thực của dữ liệu so khớp."
Hệ thống so khớp thông tin vào lúc nào?,"Hệ thống thực hiện quét tìm sự tương đồng định kỳ mỗi 5 phút (Cron Job). Đặc biệt, ngay khi một tin đăng mới được Admin phê duyệt, cơ chế so khớp tức thì sẽ được kích hoạt để không bỏ lỡ cơ hội tìm thấy tài sản."
Tôi cần cung cấp những loại bằng chứng nào khi gửi Claim?,"Bạn nên cung cấp các thông tin định danh riêng biệt như mô tả đặc điểm không công khai, hình ảnh ở góc độ khác, hóa đơn mua hàng hoặc các giấy tờ chứng minh quyền sở hữu liên quan."
Tôi có thể hủy yêu cầu xác minh (Claim) đã gửi không?,"Có, bạn có thể hủy yêu cầu Claim miễn là yêu cầu đó vẫn đang ở trạng thái ""Chờ xử lý"" và chưa được người báo nhặt phản hồi."
Tại sao yêu cầu Claim của tôi bị tự động hủy?,"Khi người báo nhặt chấp nhận một đơn Claim của người khác cho cùng một món đồ, hệ thống sẽ tự động hủy toàn bộ các đơn Claim khác đang ở trạng thái PENDING để tập trung vào quá trình bàn giao chính."
Chuyện gì xảy ra nếu sau 7 ngày không có ai xác nhận bàn giao?,"Nếu quá 7 ngày mà không có sự xác nhận qua mã QR (Timeout Path), hệ thống sẽ tự động đóng đơn Claim. Trong trường hợp có liên quan đến tiền ký quỹ, giao dịch sẽ chuyển sang trạng thái tranh chấp (DISPUTED) để Admin can thiệp."
Kênh thảo luận 3 bên là gì?,Đây là tính năng dành cho các trường hợp tranh chấp phức tạp. Admin sẽ kích hoạt một kênh đối thoại trực tiếp giữa Admin - Owner - Finder để các bên cung cấp thêm hình ảnh và giải trình nhằm đưa ra phán quyết công bằng nhất.
Làm sao để tôi biết bài đăng của mình có phải là Premium không?,Bài đăng Premium sẽ có thuộc tính is_premium = TRUE và được hưởng các đặc quyền như vị trí hiển thị ưu tiên và được hệ thống cộng thêm trọng số để tăng xác suất tìm thấy tài sản.
Audit Log ghi lại những thông tin gì?,"Nhật ký kiểm toán ghi lại mọi hành động nhạy cảm như đăng bài, chỉnh sửa, từ chối nội dung, lệnh khóa tài khoản và các cập nhật trạng thái Claim nhằm đảm bảo tính minh bạch và khả năng truy vết trách nhiệm."
Tôi có thể báo cáo một người dùng có dấu hiệu gian lận không?,"Có. Bạn có thể báo cáo vấn đề (Conflict Path), hệ thống sẽ gửi thông báo khẩn cấp cho Admin để chuyển giao sang phân hệ xử lý tranh chấp và kiểm tra lịch sử uy tín của người dùng đó."
Tại sao tôi bị hệ thống chặn (Rate Limiting)?,"Để bảo vệ tài nguyên và chống spam, hệ thống giới hạn số lượng bài đăng và yêu cầu xác minh mà mỗi tài khoản có thể thực hiện trong một ngày. Nếu vượt quá ngưỡng này, bạn cần đợi đến chu kỳ tiếp theo."